Path (w/ version number), Path,  Groups,  Type,  Total Count,  Total Rate (Hz),  Pure Count,  Pure Rate (Hz)
HLT_HIPuAK4CaloJet40Fwd_v1, HLT_HIPuAK4CaloJet40Fwd_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIPuAK4CaloJet60Fwd_v1, HLT_HIPuAK4CaloJet60Fwd_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIPuAK4CaloJet80Fwd_v1, HLT_HIPuAK4CaloJet80Fwd_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIPuAK4CaloJet100Fwd_v1, HLT_HIPuAK4CaloJet100Fwd_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIPuAK4CaloJet120Fwd_v1, HLT_HIPuAK4CaloJet120Fwd_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIGEDPhoton10_v7, HLT_HIGEDPhoton10_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIGEDPhoton10_EB_v7, HLT_HIGEDPhoton10_EB_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIGEDPhoton20_v7, HLT_HIGEDPhoton20_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIGEDPhoton20_EB_v7, HLT_HIGEDPhoton20_EB_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIDoubleGEDPhoton20_v1, HLT_HIDoubleGEDPhoton20_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIEle10Gsf_v7, HLT_HIEle10Gsf_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIEle15Gsf_v7, HLT_HIEle15Gsf_v,  ,  , 0, 0.0, 0, 0.0
HLT_HIEle15Ele10Gsf_v7, HLT_HIEle15Ele10Gsf_v,  ,  , 0, 0.0, 0, 0.0
